#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
HTR2C	HTR2B	9606.ENSP00000276198	9606.ENSP00000258400	0	0	0	0.909	0	0.312	0.800	0.889	0.868
HTR2C	SLC6A4	9606.ENSP00000276198	9606.ENSP00000261707	0	0	0	0	0.052	0.057	0	0.869	0.872
HTR2C	GRM2	9606.ENSP00000276198	9606.ENSP00000378492	0	0	0	0	0.089	0.056	0	0.510	0.542
HTR2C	MAOA	9606.ENSP00000276198	9606.ENSP00000340684	0	0	0	0	0.062	0	0	0.677	0.684
HTR2C	DLG4	9606.ENSP00000276198	9606.ENSP00000382428	0	0	0	0	0.088	0.281	0	0.714	0.796
HTR2C	HTR2A	9606.ENSP00000276198	9606.ENSP00000437737	0	0	0	0.937	0.085	0.621	0.800	0.919	0.928
HTR2C	GNAQ	9606.ENSP00000276198	9606.ENSP00000286548	0	0	0	0	0.062	0.303	0.800	0.807	0.971
MAOA	TPH1	9606.ENSP00000340684	9606.ENSP00000250018	0	0	0	0	0.062	0	0	0.833	0.838
MAOA	HTR2B	9606.ENSP00000340684	9606.ENSP00000258400	0	0	0	0	0	0	0	0.564	0.564
MAOA	SLC6A4	9606.ENSP00000340684	9606.ENSP00000261707	0	0	0	0	0.062	0	0	0.884	0.887
MAOA	HTR2C	9606.ENSP00000340684	9606.ENSP00000276198	0	0	0	0	0.062	0	0	0.677	0.684
MAOA	HTR2A	9606.ENSP00000340684	9606.ENSP00000437737	0	0	0	0	0	0	0	0.782	0.782
SLC6A4	TPH1	9606.ENSP00000261707	9606.ENSP00000250018	0	0	0	0	0.062	0	0	0.920	0.922
SLC6A4	HTR2B	9606.ENSP00000261707	9606.ENSP00000258400	0	0	0	0	0	0.057	0	0.760	0.764
SLC6A4	GRM2	9606.ENSP00000261707	9606.ENSP00000378492	0	0	0	0	0.052	0	0	0.399	0.406
SLC6A4	HTR2C	9606.ENSP00000261707	9606.ENSP00000276198	0	0	0	0	0.052	0.057	0	0.869	0.872
SLC6A4	MAOA	9606.ENSP00000261707	9606.ENSP00000340684	0	0	0	0	0.062	0	0	0.884	0.887
SLC6A4	HTR2A	9606.ENSP00000261707	9606.ENSP00000437737	0	0	0	0	0	0.057	0	0.912	0.914
TPH1	GRM2	9606.ENSP00000250018	9606.ENSP00000378492	0	0	0	0	0.063	0	0	0.398	0.411
TPH1	HTR2B	9606.ENSP00000250018	9606.ENSP00000258400	0	0	0	0	0	0	0	0.692	0.692
TPH1	HTR2C	9606.ENSP00000250018	9606.ENSP00000276198	0	0	0	0	0.062	0	0	0.769	0.774
TPH1	HTR2A	9606.ENSP00000250018	9606.ENSP00000437737	0	0	0	0	0	0	0	0.806	0.806
TPH1	MAOA	9606.ENSP00000250018	9606.ENSP00000340684	0	0	0	0	0.062	0	0	0.833	0.838
TPH1	SLC6A4	9606.ENSP00000250018	9606.ENSP00000261707	0	0	0	0	0.062	0	0	0.920	0.922
