#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
EGFR	ERBB3	9606.ENSP00000275493	9606.ENSP00000267101	0	0	0	0.913	0.062	0.972	0.900	0.991	0.997
EGFR	ERBB2	9606.ENSP00000275493	9606.ENSP00000269571	0	0	0	0.941	0.077	0.982	0.900	0.990	0.998
EGFR	ADAM17	9606.ENSP00000275493	9606.ENSP00000309968	0	0	0	0	0.062	0	0	0.948	0.949
EGFR	ERBB4	9606.ENSP00000275493	9606.ENSP00000342235	0	0	0	0.946	0.062	0.757	0.900	0.990	0.976
EGFR	NRG1	9606.ENSP00000275493	9606.ENSP00000384620	0	0	0	0	0.076	0.754	0.900	0.990	0.999
ERBB2	KRAS	9606.ENSP00000269571	9606.ENSP00000256078	0	0	0	0	0.052	0.369	0.900	0.894	0.992
ERBB2	MAPK3	9606.ENSP00000269571	9606.ENSP00000263025	0	0	0	0.573	0	0.318	0	0.785	0.544
ERBB2	EGF	9606.ENSP00000269571	9606.ENSP00000265171	0	0	0	0	0.160	0.321	0.900	0.989	0.999
ERBB2	ERBB3	9606.ENSP00000269571	9606.ENSP00000267101	0	0	0	0.897	0.117	0.915	0.900	0.991	0.992
ERBB2	DLG4	9606.ENSP00000269571	9606.ENSP00000382428	0	0	0	0	0	0.282	0	0.459	0.595
ERBB2	ADAM17	9606.ENSP00000269571	9606.ENSP00000309968	0	0	0	0	0.049	0	0.900	0.506	0.948
ERBB2	ERBB4	9606.ENSP00000269571	9606.ENSP00000342235	0	0	0	0.930	0.062	0.873	0.900	0.990	0.987
ERBB2	EGFR	9606.ENSP00000269571	9606.ENSP00000275493	0	0	0	0.941	0.077	0.982	0.900	0.990	0.998
ERBB2	NRG1	9606.ENSP00000269571	9606.ENSP00000384620	0	0	0	0	0	0.432	0.900	0.990	0.999
ERBB3	KRAS	9606.ENSP00000267101	9606.ENSP00000256078	0	0	0	0	0.052	0.369	0.900	0.763	0.983
ERBB3	MAPK3	9606.ENSP00000267101	9606.ENSP00000263025	0	0	0	0.565	0	0.318	0	0.731	0.531
ERBB3	EGF	9606.ENSP00000267101	9606.ENSP00000265171	0	0	0	0	0.177	0.301	0.900	0.987	0.999
ERBB3	ADAM17	9606.ENSP00000267101	9606.ENSP00000309968	0	0	0	0	0	0	0	0.482	0.482
ERBB3	ERBB4	9606.ENSP00000267101	9606.ENSP00000342235	0	0	0	0.931	0	0.735	0.900	0.990	0.974
ERBB3	ERBB2	9606.ENSP00000267101	9606.ENSP00000269571	0	0	0	0.897	0.117	0.915	0.900	0.991	0.992
ERBB3	EGFR	9606.ENSP00000267101	9606.ENSP00000275493	0	0	0	0.913	0.062	0.972	0.900	0.991	0.997
ERBB3	NRG1	9606.ENSP00000267101	9606.ENSP00000384620	0	0	0	0	0	0.919	0.900	0.991	0.999
ERBB4	KRAS	9606.ENSP00000342235	9606.ENSP00000256078	0	0	0	0	0.052	0.369	0.900	0.707	0.980
ERBB4	MAPK3	9606.ENSP00000342235	9606.ENSP00000263025	0	0	0	0.572	0	0.318	0.900	0.667	0.948
ERBB4	EGF	9606.ENSP00000342235	9606.ENSP00000265171	0	0	0	0	0.177	0.082	0.600	0.985	0.995
ERBB4	ERBB3	9606.ENSP00000342235	9606.ENSP00000267101	0	0	0	0.931	0	0.735	0.900	0.990	0.974
ERBB4	ERBB2	9606.ENSP00000342235	9606.ENSP00000269571	0	0	0	0.930	0.062	0.873	0.900	0.990	0.987
ERBB4	EGFR	9606.ENSP00000342235	9606.ENSP00000275493	0	0	0	0.946	0.062	0.757	0.900	0.990	0.976
ERBB4	ADAM17	9606.ENSP00000342235	9606.ENSP00000309968	0	0	0	0	0	0.213	0.900	0.522	0.959
ERBB4	GRIN2B	9606.ENSP00000342235	9606.ENSP00000477455	0	0	0	0	0.130	0	0.900	0.662	0.968
ERBB4	NRG1	9606.ENSP00000342235	9606.ENSP00000384620	0	0	0	0	0	0.830	0.900	0.991	0.999
ERBB4	DLG4	9606.ENSP00000342235	9606.ENSP00000382428	0	0	0	0	0.075	0.769	0.900	0.989	0.999
GRIN2B	KRAS	9606.ENSP00000477455	9606.ENSP00000256078	0	0	0	0	0	0.155	0.900	0.189	0.925
GRIN2B	MAPK3	9606.ENSP00000477455	9606.ENSP00000263025	0	0	0	0	0.054	0.368	0	0.592	0.735
GRIN2B	ERBB4	9606.ENSP00000477455	9606.ENSP00000342235	0	0	0	0	0.130	0	0.900	0.662	0.968
GRIN2B	DLG4	9606.ENSP00000477455	9606.ENSP00000382428	0	0	0	0	0.091	0.992	0.800	0.990	0.999
GRIN2B	NRG1	9606.ENSP00000477455	9606.ENSP00000384620	0	0	0	0	0	0	0.900	0.500	0.947
KRAS	ADAM17	9606.ENSP00000256078	9606.ENSP00000309968	0	0	0	0	0	0.142	0	0.344	0.413
KRAS	GRIN2B	9606.ENSP00000256078	9606.ENSP00000477455	0	0	0	0	0	0.155	0.900	0.189	0.925
KRAS	DLG4	9606.ENSP00000256078	9606.ENSP00000382428	0	0	0	0	0	0.225	0.900	0.321	0.942
KRAS	NRG1	9606.ENSP00000256078	9606.ENSP00000384620	0	0	0	0	0	0.078	0.900	0.442	0.944
KRAS	EGF	9606.ENSP00000256078	9606.ENSP00000265171	0	0	0	0	0	0	0.900	0.779	0.977
KRAS	ERBB4	9606.ENSP00000256078	9606.ENSP00000342235	0	0	0	0	0.052	0.369	0.900	0.707	0.980
KRAS	ERBB3	9606.ENSP00000256078	9606.ENSP00000267101	0	0	0	0	0.052	0.369	0.900	0.763	0.983
KRAS	MAPK3	9606.ENSP00000256078	9606.ENSP00000263025	0	0	0	0	0.111	0.686	0.800	0.787	0.986
KRAS	ERBB2	9606.ENSP00000256078	9606.ENSP00000269571	0	0	0	0	0.052	0.369	0.900	0.894	0.992
KRAS	EGFR	9606.ENSP00000256078	9606.ENSP00000275493	0	0	0	0	0.052	0.789	0.900	0.936	0.998
MAPK3	KRAS	9606.ENSP00000263025	9606.ENSP00000256078	0	0	0	0	0.111	0.686	0.800	0.787	0.986
MAPK3	ADAM17	9606.ENSP00000263025	9606.ENSP00000309968	0	0	0	0	0	0	0	0.465	0.465
MAPK3	ERBB3	9606.ENSP00000263025	9606.ENSP00000267101	0	0	0	0.565	0	0.318	0	0.731	0.531
MAPK3	ERBB2	9606.ENSP00000263025	9606.ENSP00000269571	0	0	0	0.573	0	0.318	0	0.785	0.544
MAPK3	DLG4	9606.ENSP00000263025	9606.ENSP00000382428	0	0	0	0	0.090	0.139	0	0.495	0.570
MAPK3	GRIN2B	9606.ENSP00000263025	9606.ENSP00000477455	0	0	0	0	0.054	0.368	0	0.592	0.735
MAPK3	EGF	9606.ENSP00000263025	9606.ENSP00000265171	0	0	0	0	0	0	0	0.820	0.820
MAPK3	NRG1	9606.ENSP00000263025	9606.ENSP00000384620	0	0	0	0	0	0.077	0.900	0.480	0.947
MAPK3	ERBB4	9606.ENSP00000263025	9606.ENSP00000342235	0	0	0	0.572	0	0.318	0.900	0.667	0.948
MAPK3	EGFR	9606.ENSP00000263025	9606.ENSP00000275493	0	0	0	0.580	0	0.413	0.900	0.859	0.960
NRG1	KRAS	9606.ENSP00000384620	9606.ENSP00000256078	0	0	0	0	0	0.078	0.900	0.442	0.944
NRG1	MAPK3	9606.ENSP00000384620	9606.ENSP00000263025	0	0	0	0	0	0.077	0.900	0.480	0.947
NRG1	EGF	9606.ENSP00000384620	9606.ENSP00000265171	0	0	0	0	0	0.658	0.500	0.850	0.972
NRG1	ERBB3	9606.ENSP00000384620	9606.ENSP00000267101	0	0	0	0	0	0.919	0.900	0.991	0.999
NRG1	ERBB2	9606.ENSP00000384620	9606.ENSP00000269571	0	0	0	0	0	0.432	0.900	0.990	0.999
NRG1	EGFR	9606.ENSP00000384620	9606.ENSP00000275493	0	0	0	0	0.076	0.754	0.900	0.990	0.999
NRG1	ADAM17	9606.ENSP00000384620	9606.ENSP00000309968	0	0	0	0	0	0	0.900	0.603	0.958
NRG1	ERBB4	9606.ENSP00000384620	9606.ENSP00000342235	0	0	0	0	0	0.830	0.900	0.991	0.999
NRG1	DLG4	9606.ENSP00000384620	9606.ENSP00000382428	0	0	0	0	0	0	0.900	0.644	0.962
NRG1	GRIN2B	9606.ENSP00000384620	9606.ENSP00000477455	0	0	0	0	0	0	0.900	0.500	0.947
